defense,suite,setting,cases,BASR_percent,SASR_percent,VOR_percent,utility_under_attack_percent
baseline,injecagent,base,1054,100.0,100.0,100.0,0.0
baseline,injecagent,enhanced,1054,100.0,100.0,100.0,0.0
baseline,redcrew_native,native,72,100.0,100.0,83.33,0.0
combined,injecagent,base,1054,0.09,0.0,0.09,100.0
combined,injecagent,enhanced,1054,0.09,0.0,0.09,100.0
combined,redcrew_native,native,72,16.67,16.67,0.0,16.67
detector_abort,injecagent,base,1054,66.13,66.13,66.13,0.0
detector_abort,injecagent,enhanced,1054,17.74,17.74,17.74,0.0
detector_abort,redcrew_native,native,72,100.0,100.0,83.33,0.0
independent_reviewer,injecagent,base,1054,0.0,0.0,0.0,0.0
independent_reviewer,injecagent,enhanced,1054,0.0,0.0,0.0,0.0
independent_reviewer,redcrew_native,native,72,16.67,16.67,0.0,0.0
prompt_hardening,injecagent,base,1054,93.55,93.55,93.55,6.45
prompt_hardening,injecagent,enhanced,1054,17.84,17.74,17.84,82.26
prompt_hardening,redcrew_native,native,72,100.0,100.0,83.33,0.0
tool_policy,injecagent,base,1054,0.09,0.0,0.09,100.0
tool_policy,injecagent,enhanced,1054,0.09,0.0,0.09,100.0
tool_policy,redcrew_native,native,72,83.33,68.06,66.67,31.94
